Display Name,Username,IsVerified,Account Created,Followers Count,Friends Count,Statuses Count,User Location,List Count,User Bio
Siyatha News,SiyathaNewsLive,FALSE,2018-11-15 08:05:08+00:00,1915,173,14071,Sri Lanka,7,"Siyatha News - News with Absolute Accuracy !
Live at 6.00am | 12.00 Noon | 6.00 pm | 9.30 pm
siyathanews.lk -The Best Sinhala Website of the year 2018"
sunil wickramasinghe,sunilwickrama,FALSE,2009-10-05 01:24:22+00:00,49,247,461,ridigama,0,Business men
Hesh Maxwell,heshmax,FALSE,2009-11-06 07:04:47+00:00,2530,3288,2292,"Kalutara, Sri Lanka",4,
ජෝණ් අමර,RosaKolla,FALSE,2015-04-13 13:16:13+00:00,177,42,401,,0,මෙය සහජීවන එකවුන්ට් එකකි
Lakshan Karunarathna,lakshanKA,FALSE,2011-11-12 09:38:41+00:00,121,721,12549,"Kandy,Sri Lanka",0,"Senior Corporate Associate - Scope Fulfillment Career141 | Head Hunter |BSc (Hons) Business & Management Studies CMU,UK"
KAPILA BAMUNUSINGHE 🇱🇰,BamunaBK,FALSE,2018-11-10 08:41:01+00:00,2034,4084,3421,"Colombo, Sri Lanka(Ceylon)",1,"Chief Surveyor of Ceylon Surveys (Pvt) Ltd. @ceylonsurvey 
# Land Surveys
# Road Surveys
# Condominium Surveys
# Construction Surveys For any Works DM"
VEN.SIRINANDA THERO.,Revsirinanda,FALSE,2014-06-27 05:05:50+00:00,1896,0,4122,sri lanka.kirillawala,5,"🇱🇰🇱🇰SRI LANKAN BUDDHIST MONK.☸️☸️☸️🙏 චිරං තිට්ඨතු ලෝකස්මිං,සම්මා සම්බුද්ධ සාසනං !"
Citizen පුවත්,CitizenPuwath,FALSE,2019-08-28 15:01:08+00:00,668,89,9059,colombo,3,"Official News provider for @helakuru.
Credible and verified news contents from citizen.lk ."
Jegan Ganeshan,imjeganG,FALSE,2018-10-25 15:28:09+00:00,788,218,17052,Sri Lanka,9,Web Editor at Hiru News | Traveler | Film reviewer |  சிங்களம் பேசும் தமிழன்❤️
Ranjanieguruge,ranjanieguruge,FALSE,2014-07-07 15:12:03+00:00,5393,3671,27251,,10,
nissanka gunarathna,nissanka72,FALSE,2011-03-18 16:03:19+00:00,7,58,5829,,0,
Hade  sharef,HadeSheriff,FALSE,2013-01-20 06:38:44+00:00,27,276,41600,,0,
neetwit,Neetwit,FALSE,2009-05-15 20:06:00+00:00,2818,2858,162351,Colombo,15,against deception of public with fabricated lies n' #sriLanka politics. Abhor ආප්ප-betrayal for power #SLpolitics
Asian Mirror Sinhala,asianmirrorsin,FALSE,2013-04-22 11:24:18+00:00,1060,43,23464,Sri Lanka,5,Empowering Opinion
Colombo Times,colombo_times,FALSE,2018-10-24 15:00:36+00:00,1044,191,25327,Sri Lanka,2,The Digital News Portal of Sri Lanka. Stay Connected With Us
Newsi,newsi_lk,FALSE,2017-09-21 04:39:40+00:00,740,46,16379,Sri Lanka,3,"Newsi is your news, entertainment, music website. We provide you with the latest breaking news and videos straight from the entertainment industry"
The Colombo Express,colombo_express,FALSE,2019-01-30 01:47:39+00:00,12,8,1121,,0,Leading News Website
Lankadeepa,LankadeepaNews,FALSE,2011-09-02 10:13:56+00:00,69151,9,64650,Sri Lanka,111,Premier Breaking News Site. Most Popular Newspaper in Sri Lanka.
Hiru Gossip,HiruGossip,FALSE,2014-05-22 05:21:08+00:00,4663,6,54898,Sri Lanka,10,"හතර වටින් ඇහෙන නියම ගොසිප්. 
Latest gossip updates from here & there !!"
Sathira Sarachchandra,sathira_s,FALSE,2012-05-10 12:29:14+00:00,287,1122,668,Colombo,1,"Young Sri Lankan Entrepreneur & Activist. Interested in Politics, Youth Policy, Econ & Business, Strategic Planning, Community Service, IR & Diplomatic Affairs."
Suraj Dhillon,SuuTikka,FALSE,2014-04-23 03:24:35+00:00,6157,798,67333,Sri Lanka,6,ආදරයට ආදරය කරන්න | RIS🇫🇷| DEVANS 🇷🇴 | Nature Lover 🌱| Photographer | Earth has music for those who listen | මනුස්සකමට මුල්‍ තැන| Follow කරපිය 😁
@BizColombo,BizColombo,FALSE,2019-08-30 17:32:54+00:00,4702,2723,9064,Singapore / Sri Lanka,11,"Business and Tech Writer🚩
University of Leicester🚩
Singapore Institute of Marketing 🚩
IMC and Brand Activation"
Nimesh Nishara 🇱🇰,Nimezzz,FALSE,2012-10-29 02:22:23+00:00,8295,993,109242,Somewhere in Sri Lanka,21,Just a coder
AsianSnake,SnakeAsia,FALSE,2017-11-21 03:57:37+00:00,341,211,503,,0,Save Asia
🇱🇰🇱🇰රොඩ්ඩා🇱🇰🇱🇰,BkcpRodrigo,FALSE,2016-02-01 14:10:15+00:00,3722,3705,9030,Sri Lanka🇱🇰,1,Do not what is evil. Do what is good. Keep your mind pure. This is the teaching.Lord  Buddha
Wasantha Perera,Wasanth53468261,FALSE,2019-09-02 13:03:03+00:00,3409,4528,8080,"Roma, Lazio",2,🇱🇰 ඒකීය ශ්‍රී ලන්කාවක්
Sahan Ruchira,And_x_n,FALSE,2017-04-19 15:03:09+00:00,33,242,414,Sri Lanka,0,"Born TO ENTERTAIN 
~ live in my own fantasy ~"
polkade,polkade1,FALSE,2019-09-17 03:46:50+00:00,16,44,735,,0,දේශපාලනය වැඩිපුර කියවන්න.. දැනුවත් වෙන්න!!
🅷🅰🆁🆂🅷🅰 | බණ්ඩාර,d_harshabandara,FALSE,2013-06-14 13:44:56+00:00,4640,3578,20085,සෙංකඩගලපුර,2,"🌸..................................🌸
#oldkingswoodian
#kandyan
#mbbs_peradeniya  
#professionaldoctor 
#music
#humanlover"
සුජිත් අයියා,Sujith_Ayya,FALSE,2013-09-11 14:08:13+00:00,3788,981,45378,Sri Lanka,16,Personal views only.  Re Tweets are not endorsed.
ඇලිස් ඉන් Happening land,azidoazide_azid,FALSE,2019-04-21 11:21:13+00:00,772,150,7374,Sri Lanka,2,28 | Sri Lankan | Traveler | Foodie | Opacarophile 🌅🌇 insta: stocastically_ | Adrenaline junkie | SL 🏏🦔 She | Her | cis
Manu,ManuNadun,FALSE,2019-08-13 07:22:58+00:00,5,98,39,Sri Lanka,0,😀🤓🤯🥵🤒
Fast News,FastNews_LK,FALSE,2015-05-19 06:51:20+00:00,1568,2,85944,Sri Lanka,72,ශ්‍රී ලංකාවේ වේගවත්ම අන්තර්ජාල පුවත් සපයන්නා.
Sanjaya K Gunasekara,SanjayaKGunase2,FALSE,2017-09-29 14:51:40+00:00,44,313,131,Sri Lanka,0,#lka cricketer
Anuradha Sooriyarachchi,iAnuradhaS,FALSE,2019-03-25 10:48:07+00:00,17108,145,16031,Sri Lanka,10,Social/Digital Media Consultant | Content Creator | Blogger ~ Simple Beauty & the Stylist finds in-between. 🎖Rank: 3rd Top Influencer in Sri Lanka
Hiru News,hirunews,FALSE,2011-08-09 03:29:46+00:00,128328,54,60613,Colombo ,176,"Hiru News, Latest news updates and discussions from Sri Lanka. Official news portal of Asia Broadcasting Corporation."
ֆɦǟռ... 🇱🇰,Its_Me_S_Soori,FALSE,2019-11-18 10:27:18+00:00,5991,3067,64488,Gampaha,2,"Hey! If u don't fit me in, U r free to UNFOLLOW me. Simply One Touch. It's better rather criticizing me behind the veil.😉

#easypeasyenglessons
#ජීවිතයටඅරුතක්"
Emanisa.lk - එමනිසා,Emanisa12,FALSE,2019-01-23 08:18:38+00:00,1489,146,13616,,5,
දවසේ පුවත් 24x7,dawasepuwath,FALSE,2019-06-25 12:13:11+00:00,1562,148,18808,"Dubai, United Arab Emirates",2,දවසේ පුවත් එසැනින් ඔබ වෙත ගෙන එන වෙබ් අඩවිය/Srilanka 24x7 Online News Web.
kolomthota,kolomthota,FALSE,2015-12-17 00:44:04+00:00,385,407,125836,,7,Kolomthota.com don't have any copyright and responsibility to contains that come from RSS feeds.Kolomthota.com is updating with public RSS feed
LankaFiles,lankafiles,FALSE,2020-01-09 16:30:26+00:00,633,205,11527,,7,"News | #SriLanka | #lka

youtube.com/c/LANKAFILES 
facebook.com/lankafilesfb"
Rizwan Segu Mohideen,RizwanStWEET,FALSE,2009-12-18 08:42:15+00:00,1283,108,11836,"Now in Colombo, Sri Lankans",6,Journalist | Online Editor | @ Lake House 🇱🇰 | @ThinakaranLK | Tech Reviewer | O+ | Insta: goo.gl/R2QWdu | RizViews | rizwan.mohideen@lakehouse.lk |
Hakeem Anver 🇱🇰,AnverHakeem,FALSE,2019-08-25 18:11:00+00:00,117,134,1507,Sri Lanka,0,| Introvert | SLCricketපිස්සෙක් |  ChelseaFCFan | Thinker | ThalaAjithfan | SocialMediaGuru | TwitterJunkie | FootballManiac | CinemaLuv | දේශපාලනය |
Mahendra K.Hennadige,HennadigeK,FALSE,2019-03-26 20:14:31+00:00,609,64,4126,"Tangalle,Sri Lanka 🇱🇰 ",1,"අම්මා සදකි,ඒ ලොව හිරැ නුඹයි පියාණනි!🙏"
Ceylondaily,CeylondailyCom,FALSE,2019-07-02 15:14:16+00:00,16,0,4800,,0,CEYLON DAILY is a Multi-Platform News and Information Media Company. Founded in 2019. It`s mission is to serve as a forum for better understanding and unity to
Thiloththama Jayasinghe,ThiloDerana,FALSE,2014-05-27 06:37:53+00:00,3894,934,3381,Sri Lanka ,13,Journalist / News Personality @ TV DERANA
R.M.S.M.L Perera,Lakshan88725763,FALSE,2019-05-06 02:25:31+00:00,7,23,44,Sri Lanka,0,
#ApeAwurudu,ApeAwurudu,FALSE,2016-04-10 14:39:20+00:00,1222,2,909,,0,Bringing Awurudu to Twitter with numerous joyful games from 2014.
Shashika® 🇱🇰,shashikasign,FALSE,2010-01-20 02:26:46+00:00,112,335,1570,Kandy,1,"I believe Today, not Tomorrow |
Trust Actions not Words"
Vikalpa,vikalpavoices,TRUE,2010-02-17 04:34:35+00:00,15368,149,33632,"Colombo, Srilanka",125,"Citizen Journalism website in Sinhala, from SriLanka. Established in 2007. Curated by @Sampathslk  | #Humanrights #Democracy #Governance #Peace"
Harshana Thushara Silva,harshatsilva,FALSE,2013-05-14 15:17:47+00:00,1351,2795,42260,Sri lanka,25,FC @generation_sl F/L Journo @Lankadeepanews Edward R. Murrow @StateIVLP
Farhan Nizamdeen,greatgalle,FALSE,2014-06-15 19:46:33+00:00,2321,103,17256,Galle Srilanka,28,"Journalist & Galle Court Correspondent 🇱🇰 | 
Freelance Writer | Independent fact-checker | Former Radio Presenter at SLBC"
Manoj,realEmJay6,FALSE,2009-10-23 07:45:45+00:00,1638,879,3903,"Colombo, Sri Lanka",11,"Techholic, Social media, Music, WebDev, Gadgets, Movies, TV series, Photography, Travel, Fitness, Spiritual & Fun loving. 🚴 (Tweets are personal)"
Chirantha Amerasinghe,chirantha7777,FALSE,2013-02-11 21:03:00+00:00,77,67,260,Sri Lanka,1,Civil and Human Rights Activist in Sri Lanka. Mobile +94773083479
Suresh M Weerasinghe,I_suresh_mw,FALSE,2011-05-27 03:32:20+00:00,20,229,181,Sri Lanka,0,#music_lover #psychedelic #traveler #reader #dreamer #work_with_travel
Dinamina Newspaper,Dinaminanews,FALSE,2010-05-23 12:41:21+00:00,1988,55,65241,Sri Lanka,21,
Anusha Chathuranga,Annnuza,FALSE,2011-04-19 07:18:15+00:00,3393,1908,29070,Maharagama,2,Solution Architect(VOIP) #VOIP  #SLIIT  #Welimada 🇱 🇰 💎 🇱🇰
DiLsk,Dil_sk10,FALSE,2015-06-13 07:59:31+00:00,655,194,8062,Sri Lanka  Marawila,3,"Even at my best, i'm useless..🍂 seeing u happy is enough 🤚🏻"
Hari Gossip News,HariGossip,FALSE,2019-07-18 04:32:00+00:00,1915,148,16968,United Arab Emirates,3,ශ්‍රී ලංකාවේ හොදම ගොසිප් නිවුස් සිංහලෙන් කියවන්න..
Colombo Today,ColomboToday1,FALSE,2017-02-05 18:41:54+00:00,165,94,6086,Sri Lanka,0,
Adha Newspaper,adha_news,FALSE,2014-02-26 08:24:00+00:00,2377,20,40401,Sri Lanka,14,"The second best selling sinhala daily newspaper in Sri Lanka. Most recent, valuable and uncommon news delivering source in Sinhala."
Ceylon Watchdog,ceylonwatchdog,FALSE,2016-11-27 15:57:22+00:00,104,899,3866,Sri Lanka,0,ශ්‍රී ලාංකික දේශපලයනයේ නිරුවත
encryptedMemory,techbuzzsl,FALSE,2017-11-12 04:28:16+00:00,499,2544,14232,Sri Lanka,2,I am a youtuber and a illustrator👐
පරාක්‍රම බණ්ඩාර,Prakrama2021,FALSE,2019-11-20 04:59:51+00:00,702,162,2472,Sri Lanka,1,
Jay Warner Travels,JWarnerexports,FALSE,2011-01-11 13:40:39+00:00,35,318,934,"Colombo, Sri Lanka",0,
Sachi😎 / සචියා 😁,SachiVIP,FALSE,2012-01-05 19:06:16+00:00,1143,619,9899,Nugegoda,1,Hit the follow button & see the magic happens 😃 Subcribe My Channel #Anonymousguru 😁 Public Figure 😈
Mawbima.lk,mawbimaonline,FALSE,2015-02-16 07:20:22+00:00,9400,32,51898,"Colombo, Sri Lanka",22,The official Twitter account for mawbima.lk
Shehan Madawa 🇱🇰,shehanmlive,FALSE,2010-02-04 15:01:02+00:00,2260,818,6220,"Colombo, Sri lanka",30,"News Personality, Sri Lanka, Colombo base Journalist, Executive News Reporter @adaderana (@tvderana) Aviation Lover ✈️ ❤️"
s p r wickramasooriy,ranjithpanadura,FALSE,2013-12-12 07:52:53+00:00,6,93,6008,panadura,1,
Jagath Pushpakumara,Jagath2020,FALSE,2020-03-03 02:28:52+00:00,2,0,90,,0,"ජගත් පුෂ්පකුමාර මැතිතුමා මොණරගල දිස්ත්‍රික්කයේ දේශපාලනඥයෙකි. 

ශ්‍රී ලංකා පාර්ලිමේන්තු මන්ත්‍රී
මොණරගල දිස්ත්‍රික්කය
1994–2000 | 2001–2015"
සෙහාන් | Sehan,Sehan_dw,FALSE,2015-11-06 07:56:42+00:00,457,507,4362,Sri Lanka,0,
Lankasara,Lankasara1,FALSE,2020-05-13 17:11:00+00:00,33,1,9184,,0,
Indika Liyanage 🇱🇰,Indikaliyan78,FALSE,2014-06-20 20:00:10+00:00,374,724,7696,"Doha, Qatar🇶🇦",2,I AM R E B O R N
Lanka Plus News,lankaplus_news,FALSE,2020-06-05 11:17:06+00:00,135,634,5398,Colombo ,0,Connect with your Community…!
Chandi,ChandiWicks1,FALSE,2016-04-20 23:28:58+00:00,268,605,3301,,2,Love Sri Lanka un conditionally. Fierce when my Motherland is done unfair. Hate people in power do unfair to the masses. Hate journalists with Malicious Agendas
SP🇱🇰,SPitiyage,FALSE,2014-06-18 06:59:38+00:00,798,718,5356,Sri Lanka ,2,"Traveling / Proud to be a Sri Lankan/ Practicing Buddhism/ love my motherland. post graduate, Director (International Marketing)"
noizenews,NoizeNews,FALSE,2020-03-31 17:58:39+00:00,1056,28,7477,Sri Lanka,1,Sri Lanka’s Number 1 Mobile TV Channel
lanka C news,lankacnews,FALSE,2010-12-26 06:05:56+00:00,30533,255,118478,Sri Lanka,59,
Rivira.lk,RiviraNews,FALSE,2020-01-28 12:57:25+00:00,171,24,1311,,1,"Sri Lanka News Website
#BreakingNews #News #Politics #Entertainment"
Srilankamirror,SriLankaMirror,FALSE,2010-11-08 22:01:40+00:00,15252,505,153512,Sri Lanka,230,24/7 Breaking News with Views
Lankanenews,lankanenews,FALSE,2019-02-26 03:50:16+00:00,601,1825,3110,Sri Lanka,0,සත්‍ය වළලන්නට පෙර
King Of Happiness ♥️😋🖖🇱🇰,ThilinaPrasang4,FALSE,2019-06-12 07:02:53+00:00,5629,3283,22505,ප්‍රොජෙක්ට් අනුව ස්ථානය වෙනස් ,2,දුක් නැති සතුට උපරිම දොරේ ගලා ගෙන යාවි ඔබ‍ට දෙවියන් වහන්සේ ආදරේ නම් ❤️😋
editor@lankanewsweb.com,lnwsrilanka,FALSE,2010-05-27 06:26:30+00:00,2341,355,85568,London / Colombo,15,News beyond borders
Dilan K Jayasinghe,dilbolz,FALSE,2010-06-12 06:45:39+00:00,1905,297,28902,හන්දියේ වීල් පාක් එකේ ,5,Simple | Unedited character
Mujeeb,Mujeeb06228878,FALSE,2020-04-27 18:15:07+00:00,0,82,876,,0,
Yeshan Hewage.,YeshanHewage,FALSE,2012-11-14 04:39:58+00:00,165,143,12367,"Kolonna, Sri Lanka.",1,
Nisal Mohatara(ජතියේ රණ හඬ)🇱🇰,NMohatara,FALSE,2018-10-12 07:47:55+00:00,53,283,658,"Sri Lanka,colombo ",0,Just simple .
TheLeaderLK,lk_leader,FALSE,2019-07-18 05:33:45+00:00,475,10,12017,Sri Lanka,0,
Cat 🍥 (Not a trigger),Cats1st_,FALSE,2020-06-19 15:46:49+00:00,935,1298,59120,On ☁️ 🇱🇰,2,"Fan of #BTS,
Listening #ඇහෙනසිංදු ,
Watch #anime, #movies, #මතක,
Share #Arts, #Photography and #මතය,
Research everything for fun  #දැනුමට 👊"
රාස්පුටින් | Rasputin,CharukaLive,FALSE,2020-04-02 09:25:13+00:00,2778,705,27180,Sri Lanka,6,A💖
UTV,UTVNewsLK,FALSE,2017-06-08 09:14:44+00:00,428,0,37059,Sri Lanka,5,
SudeshScr,Sudesh81629356,FALSE,2020-05-17 18:34:23+00:00,4241,4233,16513,"Anuradhapura ,Sri Lanka 😘",3,I think world apart 👉 🌍🌐 👉
Kottawe Viduseeha Thero,ViduseehaThero,FALSE,2019-06-08 17:39:31+00:00,1048,5011,3982,Sri Lanka,0,"Official Twitter Account of Kottawe Viduseeha Thero, Author of (ADUREN-EALIYATA) Buddhist Dharma Magazine Sri Lanka which Propagates Buddhism Worldwide. 🇱🇰"
Supreme TV,SupremeTVLK,FALSE,2019-10-22 09:56:53+00:00,28,0,735,Sri Lanka,0,Supreme TV is a Sinhala language television channel in Sri Lanka launched by Supreme Global Holdings.
MediaLK.com,MediaLkcom,FALSE,2016-04-19 17:45:41+00:00,281,52,2666,Sri Lanka,3,"MediaLk.com
Your Trusted Media Partner"
Darshana Nayanajith Jayasoma,DarNayanajith,FALSE,2014-12-27 16:01:19+00:00,863,933,14841,"Eheliyagoda, Sri Lanka",0,BA Sp. in IR @ UOC. '2012'
Ceylon Britannia,CeylonBritannia,FALSE,2020-01-26 22:54:04+00:00,61,12,1798,"London, England",0,Ceylon Britannia is an independent online news provider.
Lanka News Column,LankaNewsColom,FALSE,2017-05-24 06:50:29+00:00,206,776,11438,Sri Lanka,1,Sri Lankan Breaking News
Sameera Gunasekara 🇱🇰,sam92ky,FALSE,2016-04-29 15:15:58+00:00,2507,3253,5095,Sri Lanka 🇱🇰,0,"Finance Sector,
Former Shift Manager - Pizzahut,
Former BPO - Janashakthi Insurance, #windowsnetworker,
Instagram/sameera92kdy"
Romeo Athinatious Peiris,RomeoPeiris89,FALSE,2020-10-13 16:35:18+00:00,14,149,46,,0,
Tharindu Jayawardhana,tharinduij,FALSE,2013-11-15 11:27:44+00:00,2181,274,4133,Sri Lanka,22,"Founding member of MediaLK.com.
Was a Journalist at Lankadeepa newspaper.
Was the secretary of Sri Lanka young journalists' A.
Email - tharindu.rti@gmail.com"
Mr. හරිස්  ®™ 🇱🇰,DpHarischandra,FALSE,2015-07-06 05:04:30+00:00,3379,2754,25277," Mangedara,Sri Lanka ",1,"💕Life is all about the next step👞
IT Sailor and Instructor of SL Navy |
#NatureLover #MobilePhotographer #GraphicDesigner | Owner of #හරිස්ගේ_උපදෙස්|Use 👉 🔗"
Niroshana Warnakulasooriya,nirowa74,FALSE,2012-02-17 13:06:52+00:00,3044,171,33241,Sri Lanka - Colombo,22,Business Management Administration
Jawsy Yaseen,MohamedJawsy,FALSE,2016-12-18 04:38:51+00:00,34,381,2870,"Doha, Qatar",1,-🇱🇰SriLankan🇱🇰-
𝕄𝕣. ℕ𝕠 ℕ𝕒𝕞𝕖,Us3rChang3d,FALSE,2012-04-26 04:48:05+00:00,2217,826,43027,Kandy,4,"I am a Simple Friendly Person. 😌
Addicted to Heavy Metal 🎸"
